row,speed,bg_color,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id,fg_color,question,round,phase
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26216,0,26218,html-keyboard-response,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,NULL,NULL,NULL
2,13,mediumorchid,1.2,1,1,0,1,1,0,NULL,1,81443,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6360,2,87804,html-keyboard-response,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,NULL,NULL,NULL
4,13,mediumorchid,1.9,1,0,0,1,NULL,1,NULL,3,107923,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,NULL,NULL
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,4,107974,html-keyboard-response,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,NULL,NULL,NULL
6,13,mediumorchid,1.9,1,0,1,3,NULL,1,NULL,5,127820,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2613,6,130433,html-keyboard-response,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,NULL,NULL,NULL
8,17,mediumorchid,0.5,1,0,1,1,NULL,NULL,NULL,7,149467,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,1,real-level
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5123,8,154591,html-button-response,2,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3936,9,158527,html-button-response,2,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5522,10,164051,html-slider-response,NULL,22,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
12,15,mediumorchid,1.2,1,1,0,3,NULL,NULL,NULL,11,181513,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,2,real-level
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,12,183527,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1361,13,184888,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2359,14,187247,html-slider-response,NULL,50,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
16,13,mediumorchid,1.2,1,0,0,3,NULL,NULL,NULL,15,202444,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,3,real-level
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2331,16,204775,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1344,17,206119,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4411,18,210531,html-slider-response,NULL,56,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
20,15,mediumorchid,1.9,1,0,0,1,NULL,NULL,NULL,19,227725,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,4,real-level
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2062,20,229787,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3063,21,232851,html-button-response,0,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4991,22,237843,html-slider-response,NULL,73,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
24,13,mediumorchid,1.2,1,1,0,1,NULL,NULL,NULL,23,255538,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,5,real-level
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2905,24,258443,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8320,25,266763,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3796,26,270559,html-slider-response,NULL,50,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
28,17,mediumorchid,1.2,1,0,0,2,NULL,NULL,NULL,27,289650,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,6,real-level
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1673,28,291323,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2880,29,294203,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2843,30,297047,html-slider-response,NULL,56,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
32,17,mediumorchid,0.5,1,0,2,3,NULL,NULL,NULL,31,315979,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,7,real-level
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2260,32,318239,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,915,33,319155,html-button-response,2,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2815,34,321971,html-slider-response,NULL,37,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
36,15,mediumorchid,0.5,1,1,1,,NULL,NULL,NULL,35,337194,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,8,real-level
37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1684,36,338879,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2179,37,341060,html-button-response,2,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28391,38,369451,html-slider-response,NULL,46,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
40,17,mediumorchid,1.2,1,2,0,2,NULL,NULL,NULL,39,388671,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,9,real-level
41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1824,40,390495,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1615,41,392111,html-button-response,1,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1607,42,393719,html-slider-response,NULL,50,NULL,5cb64c808549c90016ed9fe1,NULL,performance,0,NULL
44,17,mediumorchid,1.9,1,1,0,3,NULL,NULL,NULL,43,412917,pong,NULL,NULL,NULL,5cb64c808549c90016ed9fe1,#3077FF,NULL,10,real-level
45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1825,44,414743,html-button-response,2,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,length,0,NULL
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1604,45,416347,html-button-response,0,NULL,NULL,5cb64c808549c90016ed9fe1,NULL,difficulty,0,NULL
