row,speed,colors,humanPaddleSize,aiPaddleSize,humanScore,aiScore,guess,tutorial,practice,rt,trial_index,time_elapsed,trial_type,button_pressed,response,responses,worker_id
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1405,0,1408,html-keyboard-response,NULL,NULL,NULL,NULL
2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1405,0,1408,html-keyboard-response,NULL,NULL,NULL,NULL
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2723,call-function,NULL,NULL,NULL,NULL
4,13,Array,1.2,1,0,12,2,1,1,NULL,2,59416,pong,NULL,NULL,NULL,NULL
5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1227,3,60643,html-keyboard-response,NULL,NULL,NULL,NULL
6,13,Array,1.9,1,0,2,2,NULL,1,NULL,4,81033,pong,NULL,NULL,NULL,NULL
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,529,0,530,html-keyboard-response,NULL,NULL,NULL,NULL
8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1612,0,1614,html-keyboard-response,NULL,NULL,NULL,NULL
9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,735,0,739,html-keyboard-response,NULL,NULL,NULL,NULL
10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14588,0,14593,html-keyboard-response,NULL,NULL,NULL,NULL
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81230,0,81232,html-keyboard-response,NULL,NULL,NULL,NULL
12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14588,0,14593,html-keyboard-response,NULL,NULL,NULL,NULL
13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,16283,call-function,NULL,NULL,NULL,NULL
14,13,Array,1.2,1,0,0,3,1,1,NULL,2,88081,pong,NULL,NULL,NULL,NULL
15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86620,3,174704,html-keyboard-response,NULL,NULL,NULL,NULL
16,15,Array,0.5,1,2,2,1,NULL,1,NULL,4,193157,pong,NULL,NULL,NULL,NULL
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7910,0,7913,html-keyboard-response,NULL,NULL,NULL,Firestone
18,13,Array,1.2,1,5,11,2,1,1,NULL,1,73058,pong,NULL,NULL,NULL,Firestone
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1698,2,74757,html-keyboard-response,NULL,NULL,NULL,Firestone
20,17,Array,1.9,1,0,2,3,NULL,1,NULL,3,92042,pong,NULL,NULL,NULL,Firestone
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,905,0,910,html-keyboard-response,NULL,NULL,NULL,Firestone
22,13,Array,1.2,1,5,8,1,1,1,NULL,1,73339,pong,NULL,NULL,NULL,Firestone
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,640,2,73980,html-keyboard-response,NULL,NULL,NULL,Firestone
24,13,Array,0.5,1,1,4,1,NULL,1,NULL,3,96005,pong,NULL,NULL,NULL,Firestone
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,905,0,910,html-keyboard-response,NULL,NULL,NULL,Firestone
26,13,Array,1.2,1,5,8,1,1,1,NULL,1,73339,pong,NULL,NULL,NULL,Firestone
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,640,2,73980,html-keyboard-response,NULL,NULL,NULL,Firestone
28,13,Array,0.5,1,1,4,1,NULL,1,NULL,3,96005,pong,NULL,NULL,NULL,Firestone
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,96007,call-function,NULL,NULL,NULL,Firestone
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2603,5,98610,html-keyboard-response,NULL,NULL,NULL,Firestone
